,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
2,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
3,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
4,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
5,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
6,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
7,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
8,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
9,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
10,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
11,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
12,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
13,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
14,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
15,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
16,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
17,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
18,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
19,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
20,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
21,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
22,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
23,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
24,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
25,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
26,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
27,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
28,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
29,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
30,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
31,A,闪耀黑,无对比颜色,BZ12GCY0000242,燃油,两驱
32,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
33,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
34,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
35,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
36,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
37,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
38,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
39,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
40,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
41,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
42,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
43,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
44,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
45,B,闪耀黑,石黑,AZ32GCY0000310,燃油,两驱
46,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
47,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
48,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
49,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
50,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
