,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
2,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
3,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
4,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
5,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
6,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
7,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
8,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
9,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
10,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
11,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
12,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
13,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
14,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
15,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
16,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
17,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
18,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
19,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
20,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
21,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
22,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
23,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
24,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
25,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
26,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
27,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
28,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
29,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
30,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
31,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
32,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
