,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
2,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
3,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
4,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
5,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
8,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
9,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
10,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
11,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
12,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
13,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
14,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
15,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
16,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
17,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
18,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
19,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
20,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
21,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
22,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
23,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
24,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
25,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
26,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
27,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
28,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
29,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
30,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
31,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
32,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
33,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
34,A,探索绿,闪耀黑,BZ14GCY0000270,燃油,四驱
35,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
36,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
37,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
38,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
39,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
40,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
41,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
42,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
43,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
44,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
45,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
46,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
47,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
48,B,明亮红,石黑,AZ64GCY0000282,燃油,四驱
49,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
50,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
51,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
52,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
53,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
54,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
55,B,明亮红,石黑,AZ32GCY0000255,燃油,两驱
56,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
57,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
58,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
59,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
60,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
61,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
62,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
63,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
64,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
65,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
66,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
69,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
70,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
71,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
72,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
73,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
74,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
75,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
76,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
77,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
78,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
79,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
80,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
81,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
82,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
83,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
84,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
85,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
86,B,飞行蓝,石黑,AZ62GCY0000301,燃油,两驱
87,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
88,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
89,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
90,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
91,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
92,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
93,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
94,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
95,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
96,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
97,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
98,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
99,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
