,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
2,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
3,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
4,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
5,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
6,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
7,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
8,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
9,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
10,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
11,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
12,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
13,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
14,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
15,A,天空灰,石黑,BZ12GCY0000291,燃油,两驱
16,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
17,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
18,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
19,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
20,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
21,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
22,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
23,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
24,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
25,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
26,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
27,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
28,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
29,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
30,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
31,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
32,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
33,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
