,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
2,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
3,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
4,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
5,B,闪耀黑,无对比颜色,AZ64GCY0000294,燃油,四驱
6,A,探索绿,闪耀黑,BZ14GCY0000270,燃油,四驱
7,B,薄雾灰,石黑,AZ32GCY0000296,燃油,两驱
8,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
9,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
10,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
11,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
12,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
13,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
14,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
15,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
16,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
17,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
18,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
19,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
20,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
21,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
22,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
23,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
24,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
25,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
26,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
27,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
28,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
29,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
30,B,闪耀黑,无对比颜色,AZ64GCY0000294,燃油,四驱
31,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
32,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
33,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
34,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
35,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
36,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
37,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
38,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
39,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
40,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
41,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
42,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
43,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
44,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
45,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
46,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
47,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
48,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
49,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
50,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
51,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
52,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
53,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
54,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
55,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
56,A,天空灰,无对比颜色,BZ12GCY0000307,燃油,两驱
57,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
58,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
59,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
60,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
61,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
62,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
63,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
64,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
65,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
66,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
67,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
68,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
69,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
70,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
71,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
72,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
73,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
74,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
75,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
76,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
77,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
78,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
79,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
80,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
81,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
82,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
83,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
84,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
85,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
86,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
87,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
88,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
89,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
90,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
91,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
92,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
93,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
94,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
95,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
96,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
97,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
98,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
99,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
100,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
101,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
102,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
103,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
104,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
105,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
106,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
107,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
108,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
109,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
110,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
111,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
112,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
113,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
114,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
115,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
116,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
117,B,明亮红,石黑,AZ32GCY0000255,燃油,两驱
118,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
119,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
120,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
121,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
122,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
123,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
124,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
125,B,水晶珍珠白,石黑,AZ32GCY0000236,燃油,两驱
126,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
127,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
128,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
129,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
130,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
131,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
132,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
133,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
134,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
135,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
136,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
137,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
138,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
139,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
140,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
141,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
142,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
143,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
144,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
145,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
146,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
147,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
148,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
149,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
150,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
151,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
152,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
153,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
154,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
155,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
156,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
157,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
158,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
159,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
160,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
161,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
162,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
163,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
164,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
165,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
166,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
167,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
168,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
169,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
170,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
171,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
172,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
173,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
174,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
175,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
176,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
177,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
178,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
179,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
180,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
181,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
182,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
183,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
184,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
185,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
186,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
187,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
188,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
189,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
190,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
191,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
192,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
193,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
