,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
2,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
3,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
4,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
5,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
6,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
7,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
8,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
9,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
10,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
11,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
12,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
13,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
14,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
15,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
16,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
17,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
18,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
19,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
20,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
21,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
22,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
23,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
24,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
25,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
26,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
27,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
28,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
29,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
30,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
31,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
32,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
33,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
34,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
35,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
36,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
37,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
38,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
39,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
40,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
41,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
42,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
43,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
44,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
45,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
46,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
47,B,薄雾灰,石黑,AZ32GCY0000267,燃油,两驱
48,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
49,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
50,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
51,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
52,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
53,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
54,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
55,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
56,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
57,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
58,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
59,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
60,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
61,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
62,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
63,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
64,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
65,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
66,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
67,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
68,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
69,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
70,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
71,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
72,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
73,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
74,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
75,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
76,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
77,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
78,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
79,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
80,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
81,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
82,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
83,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
84,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
85,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
86,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
87,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
88,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
89,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
90,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
91,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
92,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
93,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
94,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
95,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
96,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
97,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
98,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
99,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
100,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
101,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
102,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
103,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
104,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
105,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
106,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
107,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
108,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
109,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
110,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
111,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
112,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
113,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
114,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
115,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
116,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
117,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
118,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
119,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
120,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
121,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
122,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
123,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
124,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
125,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
126,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
127,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
128,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
129,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
130,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
131,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
132,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
133,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
134,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
135,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
136,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
137,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
138,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
139,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
140,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
141,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
142,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
143,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
144,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
145,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
146,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
147,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
148,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
149,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
150,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
151,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
152,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
153,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
154,A,闪耀黑,无对比颜色,BZ12GCY0000241,燃油,两驱
155,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
156,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
157,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
158,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
159,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
160,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
161,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
162,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
163,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
164,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
165,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
166,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
167,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
168,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
169,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
170,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
171,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
172,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
173,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
174,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
175,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
176,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
177,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
178,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
179,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
180,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
181,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
182,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
183,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
184,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
185,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
186,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
187,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
188,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
189,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
190,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
