,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
2,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
3,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
4,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
5,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
6,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
7,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
8,A,天空灰,石黑,BZ12GCY0000291,燃油,两驱
9,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
10,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
11,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
12,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
13,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
14,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
15,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
16,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
17,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
18,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
19,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
20,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
21,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
22,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
23,A,探索绿,闪耀黑,BZ14GCY0000270,燃油,四驱
24,A,水晶珍珠白,石黑,AZ62GCY0000239,燃油,两驱
25,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
26,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
27,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
28,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
29,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
30,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
31,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
32,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
33,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
34,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
35,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
36,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
37,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
38,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
39,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
40,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
41,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
42,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
43,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
44,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
45,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
46,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
47,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
48,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
49,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
50,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
51,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
52,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
53,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
54,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
55,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
56,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
57,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
58,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
59,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
60,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
61,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
62,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
