,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
2,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
3,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
4,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
5,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
6,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
7,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
8,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
9,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
10,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
11,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
12,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
13,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
14,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
15,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
16,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
17,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
18,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
19,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
20,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
21,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
22,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
23,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
24,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
25,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
26,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
27,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
28,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
29,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
30,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
31,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
32,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
33,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
34,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
35,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
36,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
37,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
38,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
39,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
40,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
41,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
42,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
43,B,薄雾灰,石黑,AZ32GCY0000254,燃油,两驱
44,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
45,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
46,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
47,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
48,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
49,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
50,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
51,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
52,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
53,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
