,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,薄雾灰,石黑,AZ32GCY0000277,燃油,两驱
2,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
3,B,薄雾灰,石黑,AZ32GCY0000286,燃油,两驱
4,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
5,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
6,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
7,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
8,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
9,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
10,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
11,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
12,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
13,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
14,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
15,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
16,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
17,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
18,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
19,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
20,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
21,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
22,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
23,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
24,A,闪耀黑,无对比颜色,BZ12GCY0000241,燃油,两驱
25,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
26,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
27,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
28,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
29,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
30,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
31,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
32,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
33,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
34,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
35,B,薄雾灰,石黑,AZ32GCY0000267,燃油,两驱
36,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
37,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
38,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
39,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
40,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
41,B,水晶珍珠白,石黑,AZ32GCY0000236,燃油,两驱
42,A,天空灰,石黑,BZ12GCY0000291,燃油,两驱
43,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
44,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
45,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
46,B,闪耀黑,无对比颜色,AZ64GCY0000294,燃油,四驱
47,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
48,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
49,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
50,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
51,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
52,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
53,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
54,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
55,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
56,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
57,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
58,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
59,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
60,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
61,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
62,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
63,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
64,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
65,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
66,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
69,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
70,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
71,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
72,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
73,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
74,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
75,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
76,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
77,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
78,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
79,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
80,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
81,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
82,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
83,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
84,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
85,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
86,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
87,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
88,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
89,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
90,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
91,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
92,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
93,A,水晶珍珠白,石黑,AZ62GCY0000239,燃油,两驱
94,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
95,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
96,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
97,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
98,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
99,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
100,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
101,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
102,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
103,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
