,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
2,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
3,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
4,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
5,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
6,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
7,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
8,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
9,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
10,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
11,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
12,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
13,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
14,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
15,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
16,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
17,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
18,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
19,B,薄雾灰,石黑,AZ32GCY0000240,燃油,两驱
20,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
21,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
22,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
23,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
24,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
25,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
26,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
27,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
28,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
29,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
30,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
31,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
32,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
33,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
34,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
35,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
36,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
37,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
38,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
39,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
40,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
41,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
42,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
43,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
44,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
45,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
46,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
47,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
48,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
49,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
50,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
51,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
52,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
53,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
54,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
55,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
56,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
57,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
58,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
59,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
60,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
61,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
62,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
63,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
64,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
65,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
66,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
67,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
68,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
69,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
70,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
71,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
72,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
73,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
74,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
75,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
76,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
77,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
78,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
79,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
80,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
81,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
82,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
83,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
84,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
85,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
86,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
87,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
88,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
89,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
90,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
91,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
92,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
93,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
94,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
95,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
96,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
97,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
98,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
99,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
100,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
101,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
102,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
103,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
104,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
105,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
106,A,闪耀黑,无对比颜色,BZ12GCY0000247,燃油,两驱
107,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
108,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
109,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
110,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
111,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
112,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
