,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
2,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
3,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
4,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
5,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
8,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
9,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
10,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
11,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
12,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
13,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
14,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
15,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
16,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
17,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
18,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
19,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
20,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
21,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
22,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
23,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
24,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
25,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
26,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
27,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
28,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
29,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
30,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
31,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
32,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
33,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
34,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
35,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
36,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
37,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
38,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
39,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
40,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
41,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
42,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
43,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
44,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
45,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
46,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
47,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
48,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
49,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
50,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
51,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
52,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
53,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
54,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
55,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
56,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
57,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
58,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
59,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
60,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
61,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
62,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
63,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
64,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
65,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
66,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
69,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
70,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
71,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
72,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
73,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
74,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
75,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
76,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
77,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
78,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
79,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
80,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
81,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
82,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
83,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
84,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
85,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
86,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
87,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
88,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
89,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
90,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
91,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
92,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
93,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
94,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
95,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
96,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
97,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
98,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
99,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
100,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
101,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
102,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
103,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
104,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
105,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
106,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
107,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
108,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
109,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
110,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
111,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
112,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
113,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
114,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
115,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
116,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
117,B,薄雾灰,石黑,AZ32GCY0000277,燃油,两驱
118,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
119,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
120,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
121,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
122,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
123,A,明亮红,石黑,BZ14GCY0000295,燃油,四驱
124,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
125,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
126,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
127,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
128,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
129,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
130,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
131,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
132,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
133,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
134,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
135,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
136,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
137,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
138,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
139,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
140,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
141,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
142,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
143,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
144,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
145,A,天空灰,无对比颜色,BZ12GCY0000307,燃油,两驱
146,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
147,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
148,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
149,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
150,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
151,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
152,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
153,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
154,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
155,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
156,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
157,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
158,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
159,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
160,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
161,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
162,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
163,A,天空灰,无对比颜色,BZ12GCY0000307,燃油,两驱
164,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
165,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
166,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
167,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
168,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
169,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
170,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
171,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
172,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
173,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
174,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
175,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
176,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
177,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
178,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
179,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
180,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
181,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
182,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
183,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
184,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
185,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
186,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
187,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
188,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
189,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
190,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
191,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
192,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
193,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
194,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
195,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
196,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
197,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
198,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
199,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
200,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
201,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
202,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
203,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
204,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
205,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
206,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
207,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
208,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
209,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
210,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
211,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
212,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
213,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
214,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
215,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
216,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
217,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
218,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
219,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
220,B,明亮红,石黑,AZ64GCY0000282,燃油,四驱
221,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
222,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
223,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
224,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
225,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
226,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
227,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
228,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
229,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
230,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
231,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
232,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
233,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
234,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
235,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
236,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
237,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
238,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
239,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
240,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
241,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
242,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
243,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
244,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
245,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
246,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
247,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
248,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
249,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
250,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
251,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
252,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
253,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
254,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
255,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
256,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
257,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
258,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
259,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
260,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
261,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
262,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
263,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
264,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
265,B,水晶珍珠白,石黑,AZ32GCY0000268,燃油,两驱
266,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
267,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
268,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
269,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
270,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
271,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
272,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
273,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
274,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
275,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
276,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
277,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
278,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
279,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
280,A,闪耀黑,无对比颜色,BZ12GCY0000242,燃油,两驱
281,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
282,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
283,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
284,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
285,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
286,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
287,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
288,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
289,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
290,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
291,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
292,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
293,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
294,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
295,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
296,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
297,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
298,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
299,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
300,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
301,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
302,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
303,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
304,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
305,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
306,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
307,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
308,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
309,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
310,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
311,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
312,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
313,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
314,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
315,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
316,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
317,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
318,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
319,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
320,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
321,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
322,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
323,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
324,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
325,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
326,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
327,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
328,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
329,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
330,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
331,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
332,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
333,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
334,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
335,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
336,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
337,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
338,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
