,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
2,A,闪耀黑,无对比颜色,BZ12GCY0000247,燃油,两驱
3,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
4,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
5,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
6,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
7,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
8,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
9,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
10,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
11,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
12,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
13,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
14,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
15,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
16,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
17,A,天空灰,无对比颜色,BZ12GCY0000266,燃油,两驱
18,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
19,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
20,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
21,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
22,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
23,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
24,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
25,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
26,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
27,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
28,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
29,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
30,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
31,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
32,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
33,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
34,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
35,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
36,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
37,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
38,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
39,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
40,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
41,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
42,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
43,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
44,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
45,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
46,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
47,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
48,B,水晶珍珠白,石黑,AZ64GCY0000309,燃油,四驱
49,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
50,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
51,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
52,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
53,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
54,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
55,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
56,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
57,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
58,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
59,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
60,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
61,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
62,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
63,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
64,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
65,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
66,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
69,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
70,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
71,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
72,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
73,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
74,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
75,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
76,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
77,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
78,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
79,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
80,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
81,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
82,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
83,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
84,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
85,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
86,B,薄雾灰,石黑,AZ32GCY0000267,燃油,两驱
87,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
88,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
89,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
90,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
91,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
92,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
93,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
94,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
95,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
96,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
97,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
98,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
99,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
100,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
101,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
102,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
103,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
104,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
105,A,天空灰,无对比颜色,BZ12GCY0000307,燃油,两驱
106,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
107,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
108,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
109,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
110,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
111,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
112,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
113,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
114,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
115,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
116,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
117,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
118,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
119,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
120,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
121,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
122,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
123,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
124,A,闪耀黑,无对比颜色,BZ12GCY0000242,燃油,两驱
125,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
126,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
127,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
128,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
129,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
130,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
131,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
132,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
133,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
134,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
135,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
136,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
137,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
138,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
139,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
140,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
141,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
142,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
143,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
144,A,天空灰,无对比颜色,BZ12GCY0000266,燃油,两驱
145,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
146,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
147,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
148,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
149,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
150,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
151,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
152,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
153,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
154,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
155,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
156,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
157,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
158,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
159,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
160,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
161,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
162,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
163,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
164,A,闪耀黑,无对比颜色,BZ12GCY0000247,燃油,两驱
165,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
166,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
167,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
168,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
169,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
170,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
171,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
172,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
173,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
174,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
175,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
176,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
177,A,天空灰,无对比颜色,BZ12GCY0000307,燃油,两驱
178,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
179,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
180,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
181,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
182,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
183,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
184,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
185,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
186,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
187,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
188,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
189,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
190,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
191,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
192,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
193,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
194,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
195,A,水晶珍珠白,石黑,BZ12GCY0000235,燃油,两驱
196,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
197,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
198,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
199,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
200,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
201,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
202,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
203,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
204,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
205,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
206,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
