,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
2,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
3,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
4,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
5,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
6,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
7,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
8,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
9,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
10,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
11,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
12,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
13,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
14,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
15,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
16,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
17,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
18,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
19,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
20,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
21,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
22,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
23,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
24,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
25,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
26,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
27,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
28,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
29,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
30,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
31,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
32,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
33,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
34,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
