,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
2,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
3,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
4,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
5,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
6,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
7,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
8,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
9,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
10,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
11,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
12,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
13,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
14,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
15,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
16,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
17,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
18,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
19,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
20,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
21,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
22,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
23,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
24,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
25,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
26,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
27,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
28,B,水晶珍珠白,石黑,AZ32GCY0000268,燃油,两驱
29,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
30,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
31,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
32,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
33,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
34,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
35,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
36,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
37,A,水晶珍珠白,石黑,BZ12GCY0000235,燃油,两驱
38,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
39,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
40,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
41,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
42,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
43,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
44,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
45,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
