,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
2,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
3,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
4,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
5,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
8,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
9,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
10,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
11,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
12,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
13,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
14,B,薄雾灰,石黑,AZ32GCY0000267,燃油,两驱
15,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
16,A,水晶珍珠白,石黑,AZ62GCY0000239,燃油,两驱
17,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
18,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
19,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
20,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
21,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
22,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
23,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
24,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
25,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
26,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
27,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
28,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
29,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
30,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
