,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
2,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
3,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
4,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
5,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
8,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
9,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
10,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
11,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
12,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
13,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
14,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
15,B,闪耀黑,无对比颜色,AZ62GCY0000259,燃油,两驱
16,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
17,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
18,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
19,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
20,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
21,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
22,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
23,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
24,B,闪耀黑,无对比颜色,AZ32GCY0000265,燃油,两驱
25,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
26,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
27,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
28,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
29,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
30,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
31,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
32,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
33,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
34,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
35,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
36,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
37,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
38,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
39,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
40,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
41,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
42,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
43,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
44,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
45,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
46,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
47,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
48,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
49,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
50,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
51,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
52,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
53,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
54,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
55,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
56,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
57,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
58,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
59,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
60,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
61,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
62,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
63,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
64,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
65,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
66,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
69,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
70,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
71,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
72,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
73,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
74,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
75,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
76,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
77,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
78,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
79,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
80,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
81,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
