,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
2,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
3,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
4,B,闪耀黑,无对比颜色,AZ62GCY0000259,燃油,两驱
5,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
6,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
7,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
8,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
9,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
10,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
11,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
12,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
13,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
14,A,水晶珍珠白,石黑,AZ62GCY0000239,燃油,两驱
15,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
16,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
17,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
18,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
19,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
20,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
21,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
22,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
23,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
24,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
25,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
26,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
27,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
28,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
29,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
30,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
31,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
32,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
33,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
34,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
35,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
36,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
37,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
38,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
39,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
40,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
41,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
42,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
43,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
44,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
45,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
46,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
47,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
48,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
49,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
50,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
51,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
52,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
53,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
54,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
55,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
56,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
57,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
58,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
59,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
60,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
61,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
62,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
63,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
64,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
65,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
66,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
67,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
68,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
69,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
70,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
71,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
72,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
73,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
74,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
75,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
76,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
77,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
78,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
79,B,闪耀黑,无对比颜色,AZ62GCY0000293,燃油,两驱
80,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
81,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
82,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
83,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
84,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
85,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
86,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
