,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
2,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
3,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
4,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
5,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
6,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
7,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
8,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
9,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
10,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
11,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
12,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
13,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
14,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
15,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
16,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
17,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
18,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
19,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
20,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
21,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
22,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
23,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
24,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
25,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
26,B,薄雾灰,石黑,AZ32GCY0000296,燃油,两驱
27,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
28,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
29,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
30,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
31,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
32,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
33,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
34,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
35,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
36,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
37,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
38,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
39,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
40,B,薄雾灰,石黑,AZ32GCY0000277,燃油,两驱
41,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
42,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
43,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
44,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
45,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
46,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
47,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
48,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
49,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
50,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
51,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
52,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
53,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
54,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
55,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
56,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
57,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
58,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
59,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
60,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
61,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
62,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
63,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
64,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
65,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
66,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
67,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
68,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
69,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
70,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
71,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
72,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
73,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
