,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
2,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
3,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
4,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
5,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
6,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
7,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
8,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
9,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
10,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
11,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
12,B,水晶珍珠白,石黑,AZ64GCY0000303,燃油,四驱
13,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
14,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
15,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
16,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
17,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
18,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
19,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
20,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
21,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
22,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
23,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
24,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
25,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
26,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
27,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
28,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
29,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
30,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
31,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
32,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
33,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
34,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
35,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
36,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
37,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
38,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
39,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
40,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
41,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
42,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
43,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
44,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
45,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
46,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
47,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
