,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
2,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
3,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
4,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
5,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
8,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
9,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
10,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
11,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
12,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
13,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
14,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
15,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
16,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
17,B,飞行蓝,石黑,AZ62GCY0000301,燃油,两驱
18,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
19,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
20,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
21,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
22,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
23,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
24,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
25,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
26,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
27,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
28,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
29,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
30,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
31,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
32,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
33,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
34,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
35,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
36,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
37,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
38,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
39,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
40,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
41,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
42,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
43,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
44,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
45,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
46,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
47,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
48,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
49,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
50,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
51,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
52,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
53,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
54,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
55,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
56,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
57,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
58,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
59,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
60,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
61,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
62,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
63,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
64,B,明亮红,石黑,AZ64GCY0000282,燃油,四驱
65,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
66,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
67,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
68,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
69,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
70,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
