,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
2,A,水晶珍珠白,石黑,AZ62GCY0000239,燃油,两驱
3,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
4,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
5,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
6,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
7,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
8,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
9,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
10,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
11,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
12,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
13,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
14,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
15,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
16,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
17,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
18,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
19,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
20,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
21,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
22,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
23,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
24,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
25,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
26,B,水晶珍珠白,石黑,AZ32GCY0000236,燃油,两驱
27,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
28,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
29,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
30,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
31,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
32,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
33,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
34,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
35,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
36,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
37,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
38,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
39,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
40,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
41,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
42,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
43,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
44,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
45,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
46,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
47,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
48,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
49,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
50,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
51,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
52,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
53,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
54,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
55,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
56,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
57,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
58,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
59,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
60,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
61,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
62,A,天空灰,石黑,BZ12GCY0000291,燃油,两驱
63,A,闪耀黑,无对比颜色,BZ12GCY0000241,燃油,两驱
64,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
65,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
