,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
2,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
3,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
4,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
5,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
6,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
7,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
8,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
9,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
10,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
11,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
12,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
13,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
14,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
15,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
16,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
17,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
18,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
19,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
20,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
21,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
22,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
23,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
24,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
25,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
26,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
27,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
28,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
29,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
30,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
31,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
32,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
33,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
34,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
35,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
36,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
37,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
38,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
39,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
40,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
41,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
42,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
43,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
44,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
45,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
46,B,闪耀黑,无对比颜色,AZ64GCY0000294,燃油,四驱
47,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
48,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
49,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
50,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
51,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
52,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
53,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
54,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
55,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
56,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
57,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
58,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
59,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
60,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
61,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
62,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
63,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
64,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
65,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
66,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
69,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
70,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
71,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
72,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
73,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
74,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
75,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
76,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
77,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
78,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
79,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
80,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
81,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
82,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
83,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
84,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
85,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
86,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
87,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
88,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
89,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
90,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
91,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
92,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
93,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
94,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
95,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
96,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
97,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
98,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
99,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
100,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
101,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
102,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
103,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
104,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
105,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
106,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
