,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
2,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
3,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
4,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
5,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
6,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
7,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
8,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
9,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
10,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
11,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
12,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
13,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
14,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
15,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
16,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
17,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
18,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
19,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
20,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
21,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
22,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
23,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
24,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
25,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
26,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
27,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
28,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
29,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
30,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
31,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
32,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
