,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
2,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
3,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
4,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
5,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
6,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
7,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
8,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
9,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
10,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
11,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
12,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
13,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
14,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
15,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
16,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
17,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
18,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
19,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
20,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
21,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
22,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
23,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
24,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
25,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
26,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
27,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
28,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
29,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
30,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
31,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
32,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
33,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
34,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
35,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
36,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
37,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
38,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
39,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
