,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
2,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
3,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
4,B,闪耀黑,无对比颜色,AZ32GCY0000265,燃油,两驱
5,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
8,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
9,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
10,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
11,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
12,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
13,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
14,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
15,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
16,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
17,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
18,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
19,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
20,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
21,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
22,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
23,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
24,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
25,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
26,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
27,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
28,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
29,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
30,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
31,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
32,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
33,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
34,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
35,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
36,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
37,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
38,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
39,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
40,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
41,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
42,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
43,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
44,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
45,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
46,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
47,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
48,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
49,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
50,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
51,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
52,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
53,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
54,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
55,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
56,A,探索绿,闪耀黑,BZ14GCY0000270,燃油,四驱
57,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
58,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
59,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
60,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
61,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
62,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
63,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
64,B,薄雾灰,石黑,AZ32GCY0000267,燃油,两驱
65,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
66,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
69,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
70,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
71,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
72,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
73,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
74,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
75,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
76,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
77,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
78,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
79,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
80,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
81,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
82,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
83,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
84,B,薄雾灰,石黑,AZ32GCY0000240,燃油,两驱
85,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
86,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
87,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
88,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
89,B,薄雾灰,石黑,AZ32GCY0000296,燃油,两驱
90,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
91,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
92,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
93,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
94,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
95,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
96,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
97,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
98,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
99,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
100,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
101,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
102,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
103,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
104,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
105,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
106,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
107,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
108,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
