,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
2,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
3,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
4,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
5,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
8,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
9,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
10,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
11,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
12,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
13,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
14,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
15,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
16,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
17,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
18,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
19,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
20,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
21,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
22,B,明亮红,石黑,AZ64GCY0000282,燃油,四驱
23,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
24,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
25,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
26,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
27,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
28,B,闪耀黑,无对比颜色,AZ32GCY0000265,燃油,两驱
29,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
30,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
31,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
32,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
33,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
34,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
35,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
36,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
37,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
38,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
39,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
40,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
41,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
42,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
43,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
44,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
45,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
46,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
47,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
48,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
49,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
50,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
51,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
52,B,水晶珍珠白,石黑,AZ32GCY0000283,燃油,两驱
53,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
54,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
55,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
56,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
