,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
2,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
3,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
4,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
5,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
6,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
7,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
8,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
9,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
10,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
11,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
12,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
13,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
14,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
15,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
16,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
17,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
18,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
19,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
20,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
21,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
22,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
23,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
24,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
25,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
26,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
27,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
28,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
29,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
30,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
31,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
32,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
33,A,水晶珍珠白,石黑,AZ62GCY0000239,燃油,两驱
34,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
35,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
36,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
37,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
38,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
39,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
