,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
2,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
3,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
4,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
5,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
6,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
7,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
8,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
9,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
10,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
11,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
12,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
13,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
14,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
15,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
16,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
17,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
18,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
19,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
20,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
21,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
22,B,薄雾灰,石黑,AZ32GCY0000286,燃油,两驱
23,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
24,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
25,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
26,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
27,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
28,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
29,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
30,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
31,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
32,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
33,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
34,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
35,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
