,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
2,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
3,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
4,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
5,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
8,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
9,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
10,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
11,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
12,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
13,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
14,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
15,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
16,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
17,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
18,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
19,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
20,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
21,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
22,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
23,B,水晶珍珠白,石黑,AZ64GCY0000303,燃油,四驱
24,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
25,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
26,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
27,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
28,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
29,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
30,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
31,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
32,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
33,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
34,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
35,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
36,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
37,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
38,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
39,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
40,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
41,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
42,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
43,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
44,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
45,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
46,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
47,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
48,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
49,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
50,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
51,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
52,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
53,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
54,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
55,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
56,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
57,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
58,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
59,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
60,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
61,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
62,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
63,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
64,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
65,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
66,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
67,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
68,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
69,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
70,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
71,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
72,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
73,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
74,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
75,B,闪耀黑,无对比颜色,AZ32GCY0000265,燃油,两驱
76,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
77,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
78,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
79,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
80,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
81,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
82,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
83,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
84,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
85,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
86,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
87,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
88,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
89,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
90,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
91,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
92,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
93,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
94,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
95,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
96,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
97,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
98,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
99,A,水晶珍珠白,石黑,AZ64GCY0000289,燃油,四驱
100,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
101,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
102,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
103,B,明亮红,石黑,AZ64GCY0000282,燃油,四驱
104,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
105,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
106,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
107,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
108,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
109,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
110,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
111,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
112,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
113,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
114,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
115,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
116,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
117,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
118,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
119,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
120,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
121,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
122,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
123,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
124,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
125,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
126,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
127,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
128,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
129,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
130,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
131,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
132,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
133,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
134,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
135,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
136,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
137,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
138,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
139,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
140,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
141,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
142,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
143,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
144,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
145,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
146,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
147,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
148,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
149,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
150,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
151,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
152,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
153,A,闪耀黑,无对比颜色,BZ12GCY0000241,燃油,两驱
154,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
155,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
156,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
157,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
158,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
159,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
160,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
161,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
162,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
163,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
164,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
165,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
166,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
167,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
168,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
169,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
170,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
171,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
172,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
173,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
174,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
175,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
176,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
177,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
178,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
179,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
180,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
181,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
182,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
183,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
184,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
185,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
186,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
187,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
188,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
189,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
190,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
191,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
192,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
193,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
194,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
195,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
196,B,薄雾灰,石黑,AZ32GCY0000240,燃油,两驱
197,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
198,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
199,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
200,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
201,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
202,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
203,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
204,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
205,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
206,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
207,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
208,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
209,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
210,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
211,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
212,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
213,A,探索绿,闪耀黑,BZ14GCY0000270,燃油,四驱
214,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
215,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
216,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
217,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
218,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
219,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
220,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
221,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
222,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
223,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
224,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
225,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
226,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
227,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
228,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
229,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
230,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
231,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
232,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
233,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
234,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
235,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
236,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
237,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
238,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
239,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
240,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
241,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
242,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
243,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
244,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
245,A,闪耀黑,无对比颜色,BZ12GCY0000247,燃油,两驱
246,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
247,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
248,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
249,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
250,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
251,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
252,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
253,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
254,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
255,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
256,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
257,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
258,A,闪耀黑,无对比颜色,BZ12GCY0000247,燃油,两驱
259,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
260,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
261,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
262,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
263,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
264,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
265,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
266,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
267,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
268,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
269,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
270,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
271,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
272,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
273,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
274,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
275,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
276,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
277,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
278,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
279,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
280,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
281,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
282,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
283,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
284,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
285,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
286,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
287,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
288,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
289,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
290,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
291,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
292,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
293,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
294,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
295,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
296,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
297,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
298,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
299,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
300,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
301,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
302,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
