,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
2,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
3,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
4,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
5,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
6,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
7,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
8,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
9,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
10,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
11,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
12,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
13,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
14,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
15,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
16,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
17,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
18,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
19,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
20,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
21,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
22,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
23,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
24,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
25,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
26,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
27,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
28,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
29,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
30,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
31,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
32,B,闪耀黑,石黑,AZ32GCY0000310,燃油,两驱
33,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
34,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
35,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
36,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
37,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
38,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
39,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
40,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
41,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
42,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
43,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
44,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
45,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
46,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
47,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
48,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
49,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
50,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
51,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
52,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
53,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
54,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
55,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
56,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
57,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
58,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
59,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
60,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
61,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
62,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
63,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
64,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
65,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
66,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
69,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
70,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
71,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
72,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
73,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
74,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
75,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
76,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
77,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
78,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
