,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
2,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
3,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
4,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
5,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
6,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
7,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
8,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
9,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
10,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
11,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
12,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
13,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
14,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
15,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
16,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
17,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
18,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
19,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
20,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
21,A,明亮红,石黑,BZ14GCY0000295,燃油,四驱
22,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
23,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
24,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
25,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
26,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
27,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
28,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
29,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
30,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
31,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
32,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
33,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
34,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
35,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
36,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
37,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
38,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
39,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
40,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
41,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
42,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
43,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
44,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
45,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
46,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
47,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
48,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
49,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
50,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
51,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
52,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
53,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
54,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
55,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
56,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
57,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
58,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
