,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
2,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
3,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
4,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
5,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
6,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
7,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
8,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
9,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
10,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
11,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
12,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
13,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
14,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
15,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
16,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
17,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
18,B,明亮红,石黑,AZ32GCY0000255,燃油,两驱
19,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
20,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
21,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
22,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
23,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
24,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
25,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
26,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
27,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
28,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
29,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
30,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
31,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
32,A,闪耀黑,无对比颜色,BZ12GCY0000247,燃油,两驱
33,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
34,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
35,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
36,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
37,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
38,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
39,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
40,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
41,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
42,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
43,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
44,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
45,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
46,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
47,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
48,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
49,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
50,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
51,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
52,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
53,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
54,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
55,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
56,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
57,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
58,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
59,B,天空灰,石黑,AZ62GCY0000264,燃油,两驱
60,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
61,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
62,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
63,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
64,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
65,B,水晶珍珠白,石黑,AZ32GCY0000268,燃油,两驱
66,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
67,B,明亮红,石黑,AZ64GCY0000282,燃油,四驱
68,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
