,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,B,闪耀黑,无对比颜色,AZ62GCY0000259,燃油,两驱
2,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
3,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
4,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
5,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
6,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
7,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
8,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
9,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
10,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
11,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
12,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
13,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
14,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
15,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
16,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
17,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
18,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
19,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
20,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
21,A,天空灰,石黑,BZ12GCY0000291,燃油,两驱
22,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
23,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
24,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
25,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
26,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
27,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
28,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
29,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
30,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
31,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
32,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
33,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
34,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
35,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
36,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
37,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
38,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
39,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
40,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
41,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
42,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
43,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
44,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
45,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
46,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
47,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
48,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
49,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
50,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
51,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
52,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
53,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
54,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
55,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
56,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
57,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
58,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
59,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
60,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
61,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
62,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
63,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
64,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
65,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
66,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
67,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
68,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
69,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
70,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
71,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
72,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
73,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
74,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
75,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
76,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
77,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
78,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
79,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
80,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
81,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
82,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
83,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
84,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
85,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
86,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
87,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
88,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
89,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
90,A,探索绿,闪耀黑,AZ64GCY0000278,燃油,四驱
91,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
92,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
93,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
94,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
95,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
96,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
97,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
98,A,明亮红,石黑,BZ14GCY0000295,燃油,四驱
99,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
100,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
101,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
102,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
103,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
104,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
105,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
106,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
107,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
108,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
109,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
110,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
111,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
112,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
113,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
114,B,闪耀黑,无对比颜色,AZ62GCY0000259,燃油,两驱
115,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
116,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
117,B,明亮红,石黑,AZ32GCY0000297,燃油,两驱
118,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
119,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
120,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
