,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,无对比颜色,BZ12GCY0000307,燃油,两驱
2,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
3,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
4,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
5,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
6,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
7,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
8,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
9,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
10,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
11,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
12,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
13,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
14,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
15,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
16,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
17,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
18,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
19,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
20,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
21,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
22,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
23,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
24,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
25,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
26,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
27,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
28,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
29,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
30,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
31,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
32,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
33,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
34,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
35,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
36,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
37,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
38,B,闪耀黑,石黑,AZ32GCY0000310,燃油,两驱
39,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
40,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
41,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
42,A,天空灰,无对比颜色,BZ12GCY0000266,燃油,两驱
43,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
44,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
45,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
46,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
47,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
48,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
49,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
50,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
51,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
52,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
53,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
54,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
55,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
56,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
57,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
58,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
59,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
60,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
61,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
62,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
63,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
64,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
65,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
66,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
67,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
68,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
69,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
70,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
71,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
72,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
73,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
74,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
75,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
76,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
77,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
78,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
79,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
80,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
81,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
82,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
83,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
84,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
85,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
86,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
87,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
88,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
89,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
90,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
91,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
92,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
93,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
94,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
95,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
96,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
97,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
98,A,明亮红,石黑,BZ14GCY0000295,燃油,四驱
99,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
100,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
101,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
102,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
103,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
104,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
105,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
106,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
107,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
108,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
109,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
110,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
111,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
112,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
113,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
114,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
115,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
116,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
117,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
118,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
119,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
120,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
121,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
122,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
123,B,水晶珍珠白,石黑,AZ64GCY0000272,燃油,四驱
124,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
125,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
126,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
127,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
128,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
129,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
130,A,水晶珍珠白,石黑,BZ12GCY0000235,燃油,两驱
131,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
132,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
133,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
134,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
135,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
136,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
137,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
138,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
139,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
140,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
141,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
142,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
143,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
144,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
145,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
146,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
147,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
148,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
149,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
150,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
151,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
152,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
153,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
154,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
155,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
156,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
157,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
158,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
159,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
160,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
161,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
162,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
163,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
164,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
165,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
166,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
167,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
168,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
169,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
170,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
171,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
172,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
173,A,天空灰,无对比颜色,BZ12GCY0000307,燃油,两驱
174,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
175,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
176,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
177,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
178,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
179,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
180,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
181,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
182,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
183,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
184,A,水晶珍珠白,石黑,BZ12GCY0000284,燃油,两驱
185,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
186,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
187,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
188,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
189,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
190,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
191,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
192,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
193,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
194,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
195,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
196,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
197,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
198,B,闪耀黑,无对比颜色,AZ32GCY0000265,燃油,两驱
199,B,水晶珍珠白,石黑,AZ32GCY0000268,燃油,两驱
