,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
2,B,水晶珍珠白,石黑,AZ64GCY0000303,燃油,四驱
3,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
4,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
5,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
6,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
7,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
8,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
9,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
10,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
11,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
12,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
13,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
14,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
15,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
16,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
17,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
18,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
19,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
20,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
21,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
22,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
23,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
24,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
25,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
26,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
27,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
28,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
29,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
30,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
31,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
32,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
33,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
34,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
35,A,水晶珍珠白,石黑,AZ62GCY0000239,燃油,两驱
36,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
37,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
38,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
39,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
40,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
41,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
42,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
43,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
44,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
45,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
46,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
47,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
48,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
49,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
50,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
51,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
52,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
53,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
54,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
55,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
56,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
57,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
58,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
59,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
60,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
61,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
62,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
63,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
64,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
65,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
66,A,闪耀黑,无对比颜色,BZ14GCY0000308,燃油,四驱
67,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
68,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
69,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
70,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
71,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
72,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
73,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
74,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
75,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
76,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
77,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
78,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
79,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
80,A,水晶珍珠白,无对比颜色,BZ12GCY0000244,燃油,两驱
81,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
82,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
