,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
2,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
3,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
4,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
5,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
6,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
7,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
8,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
9,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
10,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
11,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
12,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
13,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
14,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
15,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
16,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
17,B,明亮红,石黑,AZ64GCY0000282,燃油,四驱
18,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
19,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
20,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
21,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
22,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
23,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
24,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
25,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
26,A,天空灰,无对比颜色,BZ12GCY0000246,燃油,两驱
27,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
28,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
29,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
30,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
31,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
32,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
33,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
34,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
35,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
36,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
37,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
38,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
39,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
40,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
41,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
42,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
43,B,闪耀黑,无对比颜色,AZ32GCY0000265,燃油,两驱
44,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
45,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
46,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
47,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
48,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
49,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
50,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
51,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
52,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
53,B,薄雾灰,石黑,AZ32GCY0000288,燃油,两驱
54,B,薄雾灰,石黑,AZ32GCY0000254,燃油,两驱
55,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
56,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
57,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
58,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
59,B,天空灰,石黑,AZ64GCY0000299,燃油,四驱
60,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
61,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
62,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
63,B,液态灰,无对比颜色,AZ32GCY0000290,燃油,两驱
64,B,水晶珍珠白,石黑,AZ64GCY0000303,燃油,四驱
65,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
66,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
67,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
68,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
69,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
70,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
71,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
72,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
73,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
74,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
75,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
76,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
77,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
78,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
79,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
80,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
81,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
82,A,天空灰,无对比颜色,BZ12GCY0000307,燃油,两驱
83,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
84,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
85,B,薄雾灰,石黑,AZ32GCY0000277,燃油,两驱
86,A,水晶珍珠白,无对比颜色,BZ12GCY0000298,燃油,两驱
87,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
88,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
89,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
90,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
91,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
92,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
93,B,液态灰,无对比颜色,AZ32GCY0000249,燃油,两驱
94,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
95,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
96,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
97,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
98,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
99,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
100,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
101,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
102,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
